"","x"
"– – –",-61
"½ cup of",-68
"a advantage in",-34
"a and a",-81
"a and b",-104
"a awsome account",-4
"a bachelor of",-28
"a bachelor’s degree",-2
"a bachelors degree",0
"a backdrop of",-35
"a background check",-46
"a back seat",-67
"a badge of",-31
"a bag and",-122
"a bag for",-124
"a bag of",-17
"a bake sale",3
"a baking dish",-73
"a baking sheet",-2
"a balance between",-29
"a balanced budget",-36
"a balance of",-41
"a ballot measure",-42
"a bank account",-68
"a bank holiday",-93
"a bank of",-92
"a bankruptcy filing",-28
"a ban on",4
"a barrage of",26
"a barrel of",-59
"a barrier to",-14
"a base hit",-68
"a basis for",-2
"a basketball game",-39
"a basket of",-24
"a batch of",26
"a bath and",-58
"a batting average",11
"a battle of",-41
"a battle with",-62
"a bed of",-10
"a belief in",-15
"a belief that",-1
"a believer in",-14
"a benefit for",-21
"a benefit to",-25
"a best buy",-48
"a best friend",-14
"a best of",-34
"a bevy of",48
"a bid for",-20
"a bid to",14
"a bike and",-67
"a bike ride",-22
"ability of the",-4
"a bill in",-92
"a billion dollars",-47
"a billion times",-81
"a bill that",-7
"a bill to",-22
"a biography of",30
"a bitch and",-78
"a bitch to",-79
"a blanket and",-39
"a blend of",55
"a blessed day",25
"a blessing and",-39
"a blessing in",-43
"a blessing to",2
"a blind eye",5
"a block away",-6
"a block from",-6
"a block of",0
"a blood clot",-16
"a blood test",-2
"a bloody mary",-5
"a blow to",32
"a blueprint for",49
"a blur of",14
"a board member",21
"a board of",-8
"a body of",-2
"a body that",-20
"a bold move",-10
"a bona fide",81
"a bond issue",-8
"a bone marrow",11
"a boost from",7
"a boost in",2
"a boost to",15
"a bottle and",-53
"a bottle of",70
"a bouquet of",64
"about am when",-18
"about and i",-34
"about and the",-30
"about an hour",60
"about an inch",-55
"about any of",34
"about anything and",-29
"about anything else",-28
"about anything you",-27
"about as a",-28
"about as close",-15
"about as much",7
"about at the",54
"about becoming a",74
"about billion in",39
"about but i",26
"about but it",12
"about buying a",54
"about coming to",61
"about creating a",47
"about cup of",74
"about damn time",106
"about doing a",31
"about doing it",14
"about doing what",4
"about each other",74
"about eight years",56
"about feet from",18
"about feet tall",15
"about food and",40
"about for a",58
"about for the",42
"about for years",16
"about four or",24
"about four years",50
"about from the",64
"about getting a",51
"about getting the",14
"about giving up",60
"about going to",93
"about growing up",113
"about halfway through",105
"about having a",78
"about having the",13
"about having to",25
"about her and",-23
"about her life",-11
"about he said",97
"about if you",66
"about i have",30
"about in a",36
"about in my",2
"about in the",87
"about is that",32
"about is the",51
"about just how",73
"about last night",94
"about learning to",89
"about life and",72
"about life in",56
"about living in",123
"about love and",91
"about making a",60
